他, number_of_appearances:3630
荒地, number_of_appearances:2
牙齿, number_of_appearances:3
倒是, number_of_appearances:5
丑陋, number_of_appearances:8
相称, number_of_appearances:1
两三, number_of_appearances:2
颗, number_of_appearances:6
牙, number_of_appearances:3
接近, number_of_appearances:7
白色, number_of_appearances:10
呼出, number_of_appearances:1
气, number_of_appearances:9
刚好, number_of_appearances:9
遥不可及, number_of_appearances:1
引得, number_of_appearances:2
厌烦, number_of_appearances:3
拳, number_of_appearances:16
夸张, number_of_appearances:2
敬礼, number_of_appearances:1
手势, number_of_appearances:2
肾上腺素, number_of_appearances:6
涌动, number_of_appearances:8
出格, number_of_appearances:1
涨, number_of_appearances:4
通红, number_of_appearances:9
怒目而视, number_of_appearances:3
紧锁, number_of_appearances:1
远, number_of_appearances:15
点儿, number_of_appearances:27
放, number_of_appearances:33
尴尬, number_of_appearances:10
面部, number_of_appearances:1
热血, number_of_appearances:1
没有人, number_of_appearances:20
阻拦, number_of_appearances:1
按照, number_of_appearances:7
不能, number_of_appearances:69
上去, number_of_appearances:27
后悔, number_of_appearances:4
走进, number_of_appearances:19
的确, number_of_appearances:31
迈步, number_of_appearances:3
跨上, number_of_appearances:1
重压, number_of_appearances:1
吱嘎, number_of_appearances:7
作响, number_of_appearances:6
若, number_of_appearances:5
面临, number_of_appearances:1
境地, number_of_appearances:1
陈旧, number_of_appearances:4
脚步, number_of_appearances:36
一路, number_of_appearances:13
之上, number_of_appearances:3
平台, number_of_appearances:1
转向, number_of_appearances:10
左边, number_of_appearances:14
只有, number_of_appearances:55
底下, number_of_appearances:1
门缝, number_of_appearances:1
透出, number_of_appearances:5
楼下, number_of_appearances:2
拭目以待, number_of_appearances:1
嘲弄, number_of_appearances:2
赋予, number_of_appearances:2
亮, number_of_appearances:14
灯, number_of_appearances:9
门边, number_of_appearances:4
理会, number_of_appearances:19
烦扰, number_of_appearances:2
抑制, number_of_appearances:7
铜, number_of_appearances:2
把手, number_of_appearances:12
打开, number_of_appearances:37
正, number_of_appearances:61
蹲, number_of_appearances:4
躺, number_of_appearances:24
床上, number_of_appearances:20
凑, number_of_appearances:4
前去, number_of_appearances:11
看清, number_of_appearances:16
病人, number_of_appearances:1
状态, number_of_appearances:10
不忍, number_of_appearances:2
胆汁, number_of_appearances:2
短暂, number_of_appearances:5
只不过, number_of_appearances:5
足够, number_of_appearances:18
忘怀, number_of_appearances:1
裸露, number_of_appearances:1
病态, number_of_appearances:6
绿色, number_of_appearances:7
四肢, number_of_appearances:5
纵横交错, number_of_appearances:3
纹路, number_of_appearances:1
清晰可见, number_of_appearances:1
皮下, number_of_appearances:1
条条, number_of_appearances:1
遍布, number_of_appearances:4
紫色, number_of_appearances:4
瘀伤, number_of_appearances:1
皮疹, number_of_appearances:1
血, number_of_appearances:23
痕, number_of_appearances:1
突出, number_of_appearances:4
血丝, number_of_appearances:5
来回, number_of_appearances:7
场面, number_of_appearances:1
烙, number_of_appearances:3
跳, number_of_appearances:56
挡住, number_of_appearances:8
不住, number_of_appearances:6
推出, number_of_appearances:2
砰, number_of_appearances:5
关上, number_of_appearances:13
干什么, number_of_appearances:16
嘴唇, number_of_appearances:6
好似, number_of_appearances:5
着火, number_of_appearances:1
喃喃, number_of_appearances:10
道, number_of_appearances:114
语气, number_of_appearances:2
强势, number_of_appearances:1
屈服, number_of_appearances:2
什么事, number_of_appearances:16
倚, number_of_appearances:2
着地, number_of_appearances:10
板, number_of_appearances:5
滚, number_of_appearances:8
命令, number_of_appearances:9
早上, number_of_appearances:13
亲手, number_of_appearances:3
扔下, number_of_appearances:3
羞愧, number_of_appearances:5
缩, number_of_appearances:5
小成, number_of_appearances:1
小老鼠, number_of_appearances:1
一句话, number_of_appearances:16
以, number_of_appearances:28
最快, number_of_appearances:3
速度, number_of_appearances:22
老朽, number_of_appearances:1
顾不得, number_of_appearances:3
张口结舌, number_of_appearances:1
特别是, number_of_appearances:5
走出, number_of_appearances:22
恨, number_of_appearances:14
世上, number_of_appearances:2
激动, number_of_appearances:12
先得, number_of_appearances:1
弗莱, number_of_appearances:41
潘, number_of_appearances:41
能不能, number_of_appearances:9
吃得下, number_of_appearances:2
目睹, number_of_appearances:7
碰面, number_of_appearances:3
后, number_of_appearances:72
巴不得, number_of_appearances:2
赶紧, number_of_appearances:4
样子, number_of_appearances:43
付出, number_of_appearances:2
代价, number_of_appearances:6
从前, number_of_appearances:13
任, number_of_appearances:6
何事, number_of_appearances:3
情, number_of_appearances:7
妈妈, number_of_appearances:8
爸爸, number_of_appearances:4
学校, number_of_appearances:4
某个, number_of_appearances:22
爱好, number_of_appearances:2
女孩, number_of_appearances:87
眨, number_of_appearances:7
忘却, number_of_appearances:1
小屋, number_of_appearances:2
景象, number_of_appearances:6
天气, number_of_appearances:2
冷, number_of_appearances:3
哆嗦, number_of_appearances:2
爬上, number_of_appearances:7
覆盖, number_of_appearances:12
表面, number_of_appearances:5
坐落, number_of_appearances:1
西北角, number_of_appearances:1
笼罩, number_of_appearances:9
阴影, number_of_appearances:9
区域, number_of_appearances:16
小树林, number_of_appearances:1
西南角, number_of_appearances:3
所在, number_of_appearances:5
工人, number_of_appearances:3
田地, number_of_appearances:4
走过, number_of_appearances:17
占满, number_of_appearances:2
整个, number_of_appearances:26
东北角, number_of_appearances:3
畜栏, number_of_appearances:5
东南角, number_of_appearances:3
哞哞, number_of_appearances:2
汪汪, number_of_appearances:3
中央, number_of_appearances:9
敞开, number_of_appearances:7
大洞, number_of_appearances:1
回家, number_of_appearances:18
旁边, number_of_appearances:21
南面, number_of_appearances:2
二十, number_of_appearances:12
混凝土块, number_of_appearances:1
砌, number_of_appearances:3
低矮, number_of_appearances:2
建筑, number_of_appearances:6
入口, number_of_appearances:6
铁门, number_of_appearances:6
硕大, number_of_appearances:6
圆形, number_of_appearances:2
钢质, number_of_appearances:1
方向盘, number_of_appearances:1
开门, number_of_appearances:4
方法, number_of_appearances:13
潜水艇, number_of_appearances:1
相似, number_of_appearances:2
是不是, number_of_appearances:20
那种, number_of_appearances:13
对于, number_of_appearances:21
里面, number_of_appearances:19
什么的, number_of_appearances:11
或是, number_of_appearances:31
探寻, number_of_appearances:1
注意力, number_of_appearances:19
挪, number_of_appearances:9
四面, number_of_appearances:2
正中, number_of_appearances:1
怀里, number_of_appearances:4
三明治, number_of_appearances:10
苹果, number_of_appearances:7
装水, number_of_appearances:1
杯, number_of_appearances:2
一种, number_of_appearances:37
如释重负, number_of_appearances:6
并非, number_of_appearances:8
孤独, number_of_appearances:3
无助, number_of_appearances:5
晚餐, number_of_appearances:8
闯进, number_of_appearances:4
厨房, number_of_appearances:11
示意, number_of_appearances:13
一起, number_of_appearances:53
照, number_of_appearances:14
抓起, number_of_appearances:5
小木, number_of_appearances:1
屋里, number_of_appearances:1
面容, number_of_appearances:4
胜出, number_of_appearances:1
咬, number_of_appearances:21
大口, number_of_appearances:10
火腿, number_of_appearances:1
奶酪, number_of_appearances:2
蛋黄酱, number_of_appearances:1
美味, number_of_appearances:1
充盈, number_of_appearances:2
口腔, number_of_appearances:1
嚼, number_of_appearances:2
满嘴, number_of_appearances:3
食物, number_of_appearances:19
嘟囔, number_of_appearances:18
饿死, number_of_appearances:4
道出, number_of_appearances:3
萦绕, number_of_appearances:7
于, number_of_appearances:16
毛病, number_of_appearances:5
看起来, number_of_appearances:33
心不在焉, number_of_appearances:4
瞒, number_of_appearances:1
追问, number_of_appearances:5
继续, number_of_appearances:74
位置, number_of_appearances:12
难看, number_of_appearances:2
清, number_of_appearances:9
高耸, number_of_appearances:5
有种, number_of_appearances:14
感, number_of_appearances:18
空中, number_of_appearances:21
原地, number_of_appearances:16
外面, number_of_appearances:26
打破, number_of_appearances:9
问道, number_of_appearances:20
城堡, number_of_appearances:1
一部分, number_of_appearances:8
从来没有, number_of_appearances:12
隐瞒, number_of_appearances:3
吃完, number_of_appearances:12
喝, number_of_appearances:9
一大, number_of_appearances:7
口水, number_of_appearances:5
那里, number_of_appearances:26
挫败, number_of_appearances:5
折磨, number_of_appearances:7
即便, number_of_appearances:30
真实, number_of_appearances:16
想到, number_of_appearances:33
你们, number_of_appearances:124
干吗, number_of_appearances:12
神秘兮兮, number_of_appearances:1
这样子, number_of_appearances:2
大多数人, number_of_appearances:8
片段, number_of_appearances:4
一知半解, number_of_appearances:1
所说, number_of_appearances:5
置若罔闻, number_of_appearances:1
意, number_of_appearances:3
丢掉, number_of_appearances:1
东边, number_of_appearances:2
到处, number_of_appearances:23
走动, number_of_appearances:2
否则, number_of_appearances:7
发疯, number_of_appearances:12
哇, number_of_appearances:7
追, number_of_appearances:14
当心, number_of_appearances:4
关闭, number_of_appearances:45
上气不接下气, number_of_appearances:2
无中生有, number_of_appearances:2
错过, number_of_appearances:5
显而易见, number_of_appearances:7
心神不宁, number_of_appearances:2
放慢, number_of_appearances:10
急切, number_of_appearances:4
墙边, number_of_appearances:14
叫作, number_of_appearances:5
空隙, number_of_appearances:3
三十, number_of_appearances:5
开外, number_of_appearances:4
打趣, number_of_appearances:1
消除, number_of_appearances:1
奏效, number_of_appearances:1
每晚, number_of_appearances:5
说错, number_of_appearances:2
左, number_of_appearances:11
无比, number_of_appearances:4
石板, number_of_appearances:6
十足, number_of_appearances:4
亲眼, number_of_appearances:4
将会, number_of_appearances:5
移动, number_of_appearances:53
封闭, number_of_appearances:6
于是, number_of_appearances:8
松, number_of_appearances:8
说笑, number_of_appearances:2
多条, number_of_appearances:1
石板路, number_of_appearances:2
呵欠, number_of_appearances:2
亲眼所见, number_of_appearances:2
空白, number_of_appearances:3
东门, number_of_appearances:10
骄傲, number_of_appearances:7
展示, number_of_appearances:2
创作, number_of_appearances:1
艺术品, number_of_appearances:1
近处, number_of_appearances:2
更为, number_of_appearances:5
震惊, number_of_appearances:12
宽, number_of_appearances:3
直通, number_of_appearances:1
顶部, number_of_appearances:3
光滑, number_of_appearances:2
两侧, number_of_appearances:7
重复, number_of_appearances:22
左面, number_of_appearances:3
距离, number_of_appearances:19
直径, number_of_appearances:3
约, number_of_appearances:5
洞, number_of_appearances:30
钻进, number_of_appearances:4
当中, number_of_appearances:10
附近, number_of_appearances:5
延伸, number_of_appearances:6
右侧, number_of_appearances:4
根, number_of_appearances:13
杆子, number_of_appearances:1
另一, number_of_appearances:14
相, number_of_appearances:1
对应, number_of_appearances:3
作用, number_of_appearances:8
逗, number_of_appearances:3
动, number_of_appearances:25
以为, number_of_appearances:31
难, number_of_appearances:18
能够, number_of_appearances:37
转门, number_of_appearances:1
滑出, number_of_appearances:1
外表, number_of_appearances:8
屹立, number_of_appearances:2
千年, number_of_appearances:1
困, number_of_appearances:10
吓人, number_of_appearances:2
失落, number_of_appearances:3
噪声, number_of_appearances:2
迷宫, number_of_appearances:224
每天, number_of_appearances:19
夜里, number_of_appearances:10
变化, number_of_appearances:27
叫做, number_of_appearances:1
涨红, number_of_appearances:1
树下, number_of_appearances:3
管, number_of_appearances:3
三条, number_of_appearances:3
分别, number_of_appearances:6
右边, number_of_appearances:15
类似, number_of_appearances:2
采用, number_of_appearances:1
相同, number_of_appearances:1
铺设, number_of_appearances:1
远处, number_of_appearances:18
更多, number_of_appearances:35
更远, number_of_appearances:1
直路, number_of_appearances:1
百, number_of_appearances:4
码, number_of_appearances:3
自语, number_of_appearances:2
差点儿, number_of_appearances:1
如此, number_of_appearances:55
疯狂, number_of_appearances:26
好笑, number_of_appearances:2
出人意料, number_of_appearances:3
前方, number_of_appearances:12
转角, number_of_appearances:2
支路, number_of_appearances:1
朝着, number_of_appearances:21
过来, number_of_appearances:70
心脏, number_of_appearances:8
停跳, number_of_appearances:2
浑身是汗, number_of_appearances:3
满脸, number_of_appearances:8
粘, number_of_appearances:1
看上, number_of_appearances:3
径直, number_of_appearances:14
混凝土, number_of_appearances:6
矮, number_of_appearances:5
疲惫, number_of_appearances:12
者, number_of_appearances:10
惊讶, number_of_appearances:14
大家, number_of_appearances:114
搜索, number_of_appearances:2
别的, number_of_appearances:33
人从, number_of_appearances:2
三个, number_of_appearances:5
进来, number_of_appearances:10
飞奔, number_of_appearances:10
精疲力竭, number_of_appearances:3
憔悴, number_of_appearances:3
大铁, number_of_appearances:1
门前, number_of_appearances:3
会合, number_of_appearances:1
锈迹斑斑, number_of_appearances:1
转盘, number_of_appearances:1
使劲, number_of_appearances:12
吵, number_of_appearances:1
互相, number_of_appearances:9
门内, number_of_appearances:4
咚, number_of_appearances:3
响, number_of_appearances:19
目瞪口呆, number_of_appearances:7
拼命, number_of_appearances:20
解释, number_of_appearances:26
结果, number_of_appearances:12
令人不安, number_of_appearances:6
寒意, number_of_appearances:4
鸡皮疙瘩, number_of_appearances:2
什么人, number_of_appearances:17
扯, number_of_appearances:14
衣袖, number_of_appearances:2
沉思, number_of_appearances:8
来得及, number_of_appearances:10
细, number_of_appearances:3
如, number_of_appearances:8
连珠炮, number_of_appearances:1
未知, number_of_appearances:3
疼, number_of_appearances:14
强调, number_of_appearances:2
注, number_of_appearances:7
威严, number_of_appearances:2
早, number_of_appearances:7
上床, number_of_appearances:4
睡眠, number_of_appearances:7
举起, number_of_appearances:14
大人, number_of_appearances:1
渴望, number_of_appearances:11
轰鸣声, number_of_appearances:6
紧接, number_of_appearances:1
后退, number_of_appearances:16
摔倒, number_of_appearances:8
大地, number_of_appearances:6
正在, number_of_appearances:25
合拢, number_of_appearances:2
汹涌, number_of_appearances:1
幽闭, number_of_appearances:1
恐怖, number_of_appearances:14
慌乱, number_of_appearances:5
喘, number_of_appearances:11
过气, number_of_appearances:2
肺部, number_of_appearances:2
水, number_of_appearances:17
胸腔, number_of_appearances:4
镇定, number_of_appearances:9
发抖, number_of_appearances:7
违反, number_of_appearances:6
已知, number_of_appearances:1
物理, number_of_appearances:4
原理, number_of_appearances:4
滑行, number_of_appearances:1
溅, number_of_appearances:6
起火, number_of_appearances:1
花, number_of_appearances:8
碰撞, number_of_appearances:13
侵入, number_of_appearances:4
骨髓, number_of_appearances:1
朝向, number_of_appearances:1
相邻, number_of_appearances:2
紧密, number_of_appearances:3
闭合, number_of_appearances:7
其他的, number_of_appearances:13
头昏眼花, number_of_appearances:2
翻江倒海, number_of_appearances:1
门上, number_of_appearances:5
不可能, number_of_appearances:22
做到, number_of_appearances:19
压制, number_of_appearances:5
冲动, number_of_appearances:11
逃出, number_of_appearances:29
理智, number_of_appearances:4
上风, number_of_appearances:3
境况, number_of_appearances:3
不可, number_of_appearances:3
预测, number_of_appearances:1
苦苦, number_of_appearances:3
思索, number_of_appearances:11
搞清, number_of_appearances:6
楚, number_of_appearances:13
结构, number_of_appearances:3
怎样, number_of_appearances:11
数百, number_of_appearances:1
玻璃门, number_of_appearances:4
幅, number_of_appearances:3
溜走, number_of_appearances:2
填满, number_of_appearances:3
模糊, number_of_appearances:21
悲伤, number_of_appearances:21
刺穿, number_of_appearances:2
心情, number_of_appearances:13
终点, number_of_appearances:1
连杆, number_of_appearances:1
结合点, number_of_appearances:1
严丝合缝, number_of_appearances:1
入夜, number_of_appearances:1
隆隆, number_of_appearances:5
声响, number_of_appearances:18
令人惊异, number_of_appearances:2
松弛, number_of_appearances:2
地松, number_of_appearances:2
轻描淡写, number_of_appearances:2
没什么, number_of_appearances:16
一阵子, number_of_appearances:5
熟视无睹, number_of_appearances:1
再次, number_of_appearances:48
环顾, number_of_appearances:4
迥然相异, number_of_appearances:1
固若金汤, number_of_appearances:1
目的, number_of_appearances:14
哪一个, number_of_appearances:1
猜测, number_of_appearances:13
之内, number_of_appearances:1
免受, number_of_appearances:2
激起, number_of_appearances:4
对外, number_of_appearances:1
无数, number_of_appearances:6
令人生畏, number_of_appearances:1
拉托, number_of_appearances:1
马斯, number_of_appearances:9
当夜, number_of_appearances:1
色, number_of_appearances:6
降临, number_of_appearances:6
选择, number_of_appearances:16
尽力, number_of_appearances:14
大屋, number_of_appearances:45
倾斜, number_of_appearances:3
构造, number_of_appearances:2
称呼, number_of_appearances:4
逼, number_of_appearances:5
疯, number_of_appearances:17
找回, number_of_appearances:5
常态, number_of_appearances:2
尝试, number_of_appearances:17
苍白无力, number_of_appearances:1
玩笑, number_of_appearances:12
晚安, number_of_appearances:7
吻, number_of_appearances:3
走在, number_of_appearances:2
蹑手蹑脚, number_of_appearances:2
小窗, number_of_appearances:1
束, number_of_appearances:4
柔和, number_of_appearances:5
透过, number_of_appearances:21
屋内, number_of_appearances:5
浴室, number_of_appearances:5
怎么样, number_of_appearances:17
发麻, number_of_appearances:1
我喜欢, number_of_appearances:4
临, number_of_appearances:1
无穷, number_of_appearances:1
快乐, number_of_appearances:6
隐隐, number_of_appearances:2
好事, number_of_appearances:7
悄无声息, number_of_appearances:3
踏上, number_of_appearances:5
窗台, number_of_appearances:2
大木, number_of_appearances:1
箱子, number_of_appearances:29
伏, number_of_appearances:1
低低, number_of_appearances:1
敲, number_of_appearances:7
恶作剧, number_of_appearances:5
糟糕, number_of_appearances:35
或者, number_of_appearances:16
或许, number_of_appearances:11
不想, number_of_appearances:40
惹麻烦, number_of_appearances:1
才刚, number_of_appearances:3
强忍, number_of_appearances:1
笑意, number_of_appearances:3
躲藏, number_of_appearances:2
尽可能, number_of_appearances:11
墙根, number_of_appearances:1
卷进, number_of_appearances:1
暂时, number_of_appearances:13
避免, number_of_appearances:4
若是, number_of_appearances:2
来看, number_of_appearances:11
呀, number_of_appearances:3
怒气冲冲, number_of_appearances:1
不由得, number_of_appearances:8
屏住, number_of_appearances:8
丝毫, number_of_appearances:11
征兆, number_of_appearances:3
窗口, number_of_appearances:1
用尽, number_of_appearances:6
全身, number_of_appearances:12
力气, number_of_appearances:16
叮叮, number_of_appearances:2
咚咚, number_of_appearances:4
起到, number_of_appearances:2
效果, number_of_appearances:1
紧随, number_of_appearances:1
一连串, number_of_appearances:2
咒骂, number_of_appearances:2
表明, number_of_appearances:6
不爽, number_of_appearances:1
此时, number_of_appearances:10
我要, number_of_appearances:10
杀, number_of_appearances:19
木箱, number_of_appearances:2
冲出, number_of_appearances:4
呆住, number_of_appearances:2
神, number_of_appearances:11
新朋友, number_of_appearances:3
狂奔, number_of_appearances:3
屋角, number_of_appearances:2
大屋里, number_of_appearances:6
束缚, number_of_appearances:4
猛兽, number_of_appearances:3
大叫, number_of_appearances:19
缴械, number_of_appearances:1
投降, number_of_appearances:2
迹象, number_of_appearances:3
干, number_of_appearances:18
发誓, number_of_appearances:28
对面, number_of_appearances:6
迅速, number_of_appearances:17
发觉, number_of_appearances:1
个头, number_of_appearances:4
必要, number_of_appearances:7
得了, number_of_appearances:9
咆哮, number_of_appearances:3
大步走, number_of_appearances:2
跟前, number_of_appearances:6
也不, number_of_appearances:12
似, number_of_appearances:2
要死, number_of_appearances:3
可不是, number_of_appearances:5
傻子, number_of_appearances:1
怒, number_of_appearances:1
肥, number_of_appearances:2
直指, number_of_appearances:1
胸前, number_of_appearances:8
敌人, number_of_appearances:4
玩, number_of_appearances:3
一次, number_of_appearances:38
不管, number_of_appearances:24
娘娘腔, number_of_appearances:3
主意, number_of_appearances:13
血肉横飞, number_of_appearances:1
盼望, number_of_appearances:4
盖, number_of_appearances:7
里头, number_of_appearances:1
回, number_of_appearances:38
查清, number_of_appearances:1
看着, number_of_appearances:102
记, number_of_appearances:19
太多, number_of_appearances:16
这般, number_of_appearances:5
憎恨, number_of_appearances:2
面带, number_of_appearances:4
神色, number_of_appearances:12
非常感谢, number_of_appearances:1
出乎, number_of_appearances:8
意料, number_of_appearances:8
居然, number_of_appearances:24
再也, number_of_appearances:26
惴惴不安, number_of_appearances:1
笑笑, number_of_appearances:5
怎么了, number_of_appearances:18
活该, number_of_appearances:1
棒, number_of_appearances:3
柔软, number_of_appearances:6
睡袋, number_of_appearances:3
宽阔, number_of_appearances:2
草坪, number_of_appearances:1
不少, number_of_appearances:13
当作, number_of_appearances:8
容纳, number_of_appearances:1
算, number_of_appearances:15
暖和, number_of_appearances:1
勾起, number_of_appearances:2
地名, number_of_appearances:1
擅长, number_of_appearances:4
不论, number_of_appearances:9
国家, number_of_appearances:1
元首, number_of_appearances:1
抑或, number_of_appearances:1
划分, number_of_appearances:2
一无所知, number_of_appearances:4
表露, number_of_appearances:2
静静, number_of_appearances:8
好久, number_of_appearances:5
星辰, number_of_appearances:2
谈话, number_of_appearances:7
轻柔, number_of_appearances:2
私语, number_of_appearances:1
入睡, number_of_appearances:5
不容, number_of_appearances:2
易, number_of_appearances:2
身心, number_of_appearances:1
欢乐, number_of_appearances:3
早就, number_of_appearances:8
无影无踪, number_of_appearances:3
漫长, number_of_appearances:7
诸多, number_of_appearances:2
小事, number_of_appearances:1
穿衣, number_of_appearances:1
学习, number_of_appearances:3
玩耍, number_of_appearances:2
大体, number_of_appearances:1
模样, number_of_appearances:11
画面, number_of_appearances:20
创造, number_of_appearances:3
完整, number_of_appearances:1
全都, number_of_appearances:19
泥水, number_of_appearances:2
甚, number_of_appearances:1
哀伤, number_of_appearances:3
喂, number_of_appearances:6
熬, number_of_appearances:7
勉强, number_of_appearances:10
好想, number_of_appearances:6
胳膊肘, number_of_appearances:6
撑, number_of_appearances:16
一旁, number_of_appearances:13
两天, number_of_appearances:11
学到, number_of_appearances:2
还好, number_of_appearances:5
短语, number_of_appearances:1
借用, number_of_appearances:1
融, number_of_appearances:1
合进, number_of_appearances:1
倒下, number_of_appearances:3
怀疑, number_of_appearances:26
有意, number_of_appearances:3
某些, number_of_appearances:6
滑稽, number_of_appearances:5
天真, number_of_appearances:1
两样, number_of_appearances:1
神秘, number_of_appearances:3
袭, number_of_appearances:12
处于, number_of_appearances:3
半, number_of_appearances:15
醒, number_of_appearances:18
推, number_of_appearances:17
一把, number_of_appearances:36
亲切, number_of_appearances:1
缕, number_of_appearances:5
暖流, number_of_appearances:3
破天荒, number_of_appearances:1
第一次, number_of_appearances:15
最, number_of_appearances:73
睁, number_of_appearances:9
讽刺, number_of_appearances:6
好起来, number_of_appearances:1
想法, number_of_appearances:53
知道了, number_of_appearances:5
这种, number_of_appearances:10
顿悟, number_of_appearances:1
既, number_of_appearances:10
员, number_of_appearances:4
睡着, number_of_appearances:15
哈, number_of_appearances:2
不快, number_of_appearances:3
加入, number_of_appearances:8
翻, number_of_appearances:17
信心, number_of_appearances:2
胸中, number_of_appearances:6
转身, number_of_appearances:36
体, number_of_appearances:3
忘掉, number_of_appearances:5
放弃, number_of_appearances:34
别想, number_of_appearances:3
彻底, number_of_appearances:22
躺下, number_of_appearances:1
真是, number_of_appearances:19
步步, number_of_appearances:4
紧逼, number_of_appearances:2
拼图, number_of_appearances:2
放在, number_of_appearances:34
接下, number_of_appearances:1
人口, number_of_appearances:1
去过, number_of_appearances:5
沉重, number_of_appearances:17
呼吸声, number_of_appearances:4
不肯, number_of_appearances:7
破坏, number_of_appearances:9
失去, number_of_appearances:12
欣慰, number_of_appearances:6
容易, number_of_appearances:11
开眼, number_of_appearances:4
近前, number_of_appearances:3
尚未, number_of_appearances:2
亮起, number_of_appearances:4
暗影, number_of_appearances:7
张开, number_of_appearances:8
蔓延, number_of_appearances:8
前来, number_of_appearances:2
嘘, number_of_appearances:4
吵醒, number_of_appearances:1
居于, number_of_appearances:1
第二位, number_of_appearances:1
起床, number_of_appearances:8
警觉, number_of_appearances:3
眼神, number_of_appearances:20
表示, number_of_appearances:17
同意, number_of_appearances:12
放开, number_of_appearances:7
站起, number_of_appearances:3
格外, number_of_appearances:6
强健, number_of_appearances:2
睡意, number_of_appearances:3
全无, number_of_appearances:5
说道, number_of_appearances:35
准备, number_of_appearances:49
疑虑, number_of_appearances:6
理由, number_of_appearances:4
好奇心, number_of_appearances:5
占, number_of_appearances:1
踏进, number_of_appearances:5
鞋子, number_of_appearances:8
紧跟, number_of_appearances:3
悄悄, number_of_appearances:3
挨, number_of_appearances:6
熟睡, number_of_appearances:2
绊倒, number_of_appearances:1
踩, number_of_appearances:8
换来, number_of_appearances:2
小腿, number_of_appearances:1
肚, number_of_appearances:1
结结实实, number_of_appearances:2
抱歉, number_of_appearances:7
不满, number_of_appearances:5
拔腿, number_of_appearances:4
向西, number_of_appearances:1
步伐, number_of_appearances:3
暗, number_of_appearances:5
障碍物, number_of_appearances:1
隐约可见, number_of_appearances:1
边上, number_of_appearances:6
摩天大楼, number_of_appearances:1
抹掉, number_of_appearances:1
残留, number_of_appearances:4
不经意, number_of_appearances:2
微小, number_of_appearances:1
灯光, number_of_appearances:5
沿着, number_of_appearances:15
压低, number_of_appearances:5
嗓子, number_of_appearances:13
红光, number_of_appearances:8
暗中, number_of_appearances:1
警告, number_of_appearances:4
厚厚, number_of_appearances:12
不着边际, number_of_appearances:1
得不到, number_of_appearances:3
愚蠢, number_of_appearances:28
挖苦, number_of_appearances:1
融入, number_of_appearances:1
样, number_of_appearances:1
分开, number_of_appearances:8
露出, number_of_appearances:15
下面, number_of_appearances:9
刷, number_of_appearances:4
轻声, number_of_appearances:3
别着急, number_of_appearances:1
坐立不安, number_of_appearances:1
耐, number_of_appearances:2
心地, number_of_appearances:1
死死, number_of_appearances:12
微光, number_of_appearances:6
透, number_of_appearances:11
摇曳, number_of_appearances:1
七色光, number_of_appearances:1
芒, number_of_appearances:1
照亮, number_of_appearances:3
池边, number_of_appearances:1
分辨, number_of_appearances:4
哽, number_of_appearances:3
出神, number_of_appearances:3
围绕, number_of_appearances:3
着迷, number_of_appearances:4
宫, number_of_appearances:2
展开, number_of_appearances:10
钟爱, number_of_appearances:2
秒, number_of_appearances:15
为了, number_of_appearances:25
解决, number_of_appearances:9
隐藏, number_of_appearances:17
秘密, number_of_appearances:13
搞砸, number_of_appearances:5
为何, number_of_appearances:7
在手, number_of_appearances:5
倾, number_of_appearances:2
碰到, number_of_appearances:3
物体, number_of_appearances:4
污垢, number_of_appearances:2
一下子, number_of_appearances:31
嗓子眼儿, number_of_appearances:1
吹, number_of_appearances:2
瞬间, number_of_appearances:8
凝固, number_of_appearances:7
身形, number_of_appearances:1
厚实, number_of_appearances:4
动物, number_of_appearances:15
明显, number_of_appearances:13
外形, number_of_appearances:1
在外, number_of_appearances:17
蠕动, number_of_appearances:2
猛然, number_of_appearances:4
退去, number_of_appearances:6
弹, number_of_appearances:2
回去, number_of_appearances:25
损坏, number_of_appearances:1
一丝一毫, number_of_appearances:1
发散, number_of_appearances:1
显露出, number_of_appearances:2
模糊不清, number_of_appearances:2
刺, number_of_appearances:39
反光, number_of_appearances:1
带有, number_of_appearances:2
工具, number_of_appearances:7
尖头, number_of_appearances:1
锯, number_of_appearances:1
锋, number_of_appearances:1
大剪刀, number_of_appearances:1
杆, number_of_appearances:19
其, number_of_appearances:4
用途, number_of_appearances:4
引, number_of_appearances:3
机器, number_of_appearances:8
混合体, number_of_appearances:1
觉察, number_of_appearances:3
企盼, number_of_appearances:1
进入, number_of_appearances:26
饱餐一顿, number_of_appearances:1
人肉, number_of_appearances:1
肿瘤, number_of_appearances:1
确信, number_of_appearances:4
昨夜, number_of_appearances:1
寻, number_of_appearances:2
烟消云散, number_of_appearances:5
五脏六腑, number_of_appearances:2
庆幸, number_of_appearances:6
夜间, number_of_appearances:5
出没, number_of_appearances:1
感谢, number_of_appearances:6
咽, number_of_appearances:2
受到, number_of_appearances:11
极大, number_of_appearances:1
打击, number_of_appearances:1
怎的, number_of_appearances:10
坚信, number_of_appearances:5
特别, number_of_appearances:12
漫不经心, number_of_appearances:4
窗外, number_of_appearances:17
我的朋友, number_of_appearances:2
这不, number_of_appearances:14
生存, number_of_appearances:5
完成, number_of_appearances:27
使命, number_of_appearances:3
什么样, number_of_appearances:16
黎明, number_of_appearances:9
出去, number_of_appearances:29
路, number_of_appearances:11
破解, number_of_appearances:15
重新, number_of_appearances:20
开启, number_of_appearances:7
歪歪扭扭, number_of_appearances:1
